Format type,Format subtype 1,Format subtype 2,Format,Section,QID,Question,Help,Weight,Dependency-Q,Dependency-A,Control,A1,A1 value,A2,A2 value,A3,A3 value,A4,A4 value,A5,A5 value,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Albumen Print,Condition,201,Is the print mounted or unmounted?,"Albumen Prints are often mounted on thick cardstock. Unmounted prints are comparatively thin and typically found tightly curled, in extreme cases, these will require remediation on the part of a trained conservator.",4,,,,Mounted,1,Unmounted,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Albumen Print,Condition,202,Is the support (card mount or paper) discolored and/or brittle? This will be most evident along the edges,"Select the degree of the support's acidic breakdown. Discoloration (e.g. yellowing) typically precedes obvious brittle properties, showing up first along the edges. Discoloration is usually more apparent on the back. If both yellowed and brittle, this support (cardboard or paper) is likely in an advanced stage of degradation.",6,,,,Neither,1,"Yellowed, not brittle",0.67,"Brittle, yellowed",0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Albumen Print,Condition,203,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
Albumen prints will likely exhibit some yellowing and fading. Most exhibit distinct yellow or yellowish brown staining in the non-image and highlight areas. As the binder yellows, overall print discoloration follows.  Highlights lose contrast and detail first. 
Reddish-brown blotches or spotty patch staining (foxing) is also common. Click through for examples of Albumen Print discoloration and staining.",8,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Glossy Collodion Print,Use | Access,204,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Glossy Collodion Print,Use | Access,205,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about facsimiles and access/reference copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Glossy Collodion Print,Storage | Container,206,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Glossy Collodion Print,Storage | Container,207,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Glossy Collodion Print,Storage | Container,208,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Glossy Collodion Print,Condition,209,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If a support's corner is dented without clear damage to the image/emulsion, the image may be ""Good"" or even ""Excellent"".
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. Note that even a slight scratch or abrasion to the collodion image layer can expose the stark white baryta under layer.
Delamination or significant emulsion flaking (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparability.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Glossy Collodion Print,Condition,210,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Glossy Collodion Print,Condition,211,Is the support (card mount or paper) discolored and/or brittle? This will be most evident along the edges,"Select the degree of the support's acidic breakdown. Discoloration (e.g. yellowing) typically precedes obvious brittle properties, showing up first along the edges. Discoloration is usually more apparent on the back. If both yellowed and brittle, this support (cardboard or paper) is likely in an advanced stage of degradation.",8,,,,Neither,1,"Yellowed, not brittle",0.67,"Brittle, yellowed",0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Glossy Collodion Print,Condition,212,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
Collodion Prints typically exhibit little image fading; if faded, it will be most evident in the image's highlights. Overall tonal shifts range from purple or purplish brown to yellowish or greenish brown; reddish-brown spot staining (foxing) is also common.",10,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Gelatin POP Print,Use | Access,213,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Gelatin POP Print,Use | Access,214,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about facsimiles and access/reference copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Gelatin POP Print,Storage | Container,215,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Gelatin POP Print,Storage | Container,216,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Gelatin POP Print,Storage | Container,217,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Gelatin POP Print,Condition,218,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If a support's corner is dented without clear damage to the image/emulsion, the image may be ""Good"" or even ""Excellent"".
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. Note that even a slight scratch or abrasion to the gelatin image layer can expose the stark white baryta under layer.
Delamination or significant emulsion flaking (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparability.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Gelatin POP Print,Condition,219,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Gelatin POP Print,Condition,220,Is the support (card mount or paper) discolored and/or brittle? This will be most evident along the edges,"Select the degree of the support's acidic breakdown. Discoloration (e.g. yellowing) typically precedes obvious brittle properties, showing up first along the edges. Discoloration is usually more apparent on the back. If both yellowed and brittle, this support (cardboard or paper) is likely in an advanced stage of degradation.",8,,,,Neither,1,"Yellowed, not brittle",0.67,"Brittle, yellowed",0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Gelatin POP Print,Condition,221,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
Gelatin POP Prints are usually faded and yellowed; if faded, it will be most evident in the image's highlights. Overall tone can range from reddish-brown (unfaded, untoned) and purplish-brown (unfaded, toned) to light yellowish-brown and yellowish-green (faded, untoned). Reddish-brown spot staining (foxing) on the paper or mount is also possible.",10,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Matte Collodion Print,Use | Access,222,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Matte Collodion Print,Use | Access,223,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about facsimiles and access/reference copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Matte Collodion Print,Storage | Container,224,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Matte Collodion Print,Storage | Container,225,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Matte Collodion Print,Storage | Container,226,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Matte Collodion Print,Condition,227,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If a support's corner is dented without clear damage to the image/emulsion, the image may be ""Good"" or even ""Excellent"". 
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. Note that even a slight scratch or abrasion to the collodion image layer can expose the stark white baryta under layer.
Delamination or significant emulsion flaking (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparability.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Matte Collodion Print,Condition,228,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Matte Collodion Print,Condition,229,Is the support (card mount or paper) discolored and/or brittle? This will be most evident along the edges,"Select the degree of the support's acidic breakdown. Discoloration (e.g. yellowing) typically precedes obvious brittle properties, showing up first along the edges. Discoloration is usually more apparent on the back. If both yellowed and brittle, this support (cardboard or paper) is likely in an advanced stage of degradation.",8,,,,Neither,1,"Yellowed, not brittle",0.67,"Brittle, yellowed",0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Matte Collodion Print,Condition,230,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
Matte Collodion Prints are generally more stable than their glossy counterparts. If faded or yellowed, it will be most evident in the image's highlights. Stable image tones will range from a purplish-brown, brown-black, or neutral gray-black (all treated with gold or platinum toning).
Silver mirroring (metallic, bluish cast) is a common form of surface oxidation that can affect any silver image. Reddish-brown spot staining (foxing) on the paper or mount is also possible.",10,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Silver Gelatin Print,Use | Access,231,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Silver Gelatin Print,Use | Access,232,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about facsimiles and access/reference copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Silver Gelatin Print,Storage | Container,233,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Silver Gelatin Print,Storage | Container,234,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Silver Gelatin Print,Storage | Container,235,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Silver Gelatin Print,Condition,236,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If a support's corner is dented without clear damage to the image/emulsion, the image may be ""Good"" or even ""Excellent"". 
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. Surface cracking and flaking is usually exclusive to RC papers. Early era resin-coated (RC) papers (1968Ðlate 1970s) are especially susceptible. RC prints will have a smooth, plasticized back side. 
Delamination or flaking (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparability.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Silver Gelatin Print,Condition,237,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Silver Gelatin Print,Condition,238,Is the support (card mount or paper) discolored and/or brittle? This will be most evident along the edges,"Select the degree of the support's acidic breakdown. Discoloration (e.g. yellowing) typically precedes obvious brittle properties, showing up first along the edges. Discoloration is usually more apparent on the back. If both yellowed and brittle, this support (cardboard or paper) is likely in an advanced stage of degradation.",8,,,,Neither,1,"Yellowed, not brittle",0.67,"Brittle, yellowed",0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Silver Gelatin Print,Condition,239,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
Fading is most evident in the image's highlights; tone shifts toward yellowish-brown as this occurs. Look at overall contrast when assessing the level of fading. Click through for examples of Silver Gelatin fading and discoloration.
Silver mirroring (metallic, bluish cast) is a common form of surface oxidation that can affect any silver image. Orange-yellow spots (redox blemishes) in the image are a form of staining that affects only resin-coated (RC) Silver Gelatin Prints.",10,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Chromogenic Color Print,Use | Access,240,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Chromogenic Color Print,Use | Access,241,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about facsimiles and access/reference copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Chromogenic Color Print,Storage | Container,242,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Chromogenic Color Print,Storage | Container,243,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Chromogenic Color Print,Storage | Container,244,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Chromogenic Color Print,Condition,245,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If a support's corner is dented without clear damage to the image/emulsion, the image may be ""Good"" or even ""Excellent"". 
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. Surface cracking and flaking is usually exclusive to resin-coated (RC) papers; early era RC papers (1968Ðlate 1970s) are especially susceptible. RC will have a smooth, plasticized back side; fiber-based color photo paper was produced 1942Ð1971. 
Delamination or flaking (i.e. image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparability.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Chromogenic Color Print,Condition,246,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Chromogenic Color Print,Condition,247,Is the support discolored and/or brittle? This will be most evident along the paper's edges,"Select the degree of the support's acidic breakdown. Discoloration (e.g. yellowing) typically precedes obvious brittle properties, showing up first along the edges. Discoloration is usually more apparent on the back. If both yellowed and brittle, this support (cardboard or paper) is likely in an advanced stage of degradation.",8,,,,Neither,1,"Yellowed, not brittle",0.67,"Brittle, yellowed",0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Chromogenic Color Print,Condition,248,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
Fading is most evident in the image's highlights; yellowing in highlights and borders. Overall bluish or reddish tonal shifts are especially common in photo papers produced before the mid-1980s. Look at overall contrast when assessing the level of fading. Click through for examples of Chromogenic Color fading and discoloration.",10,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Silver Dye-Bleach Print,Use | Access,249,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Silver Dye-Bleach Print,Use | Access,250,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about facsimiles and access/reference copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Silver Dye-Bleach Print,Storage | Container,251,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Silver Dye-Bleach Print,Storage | Container,252,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Silver Dye-Bleach Print,Storage | Container,253,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Silver Dye-Bleach Print,Condition,254,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If a support's corner is dented without clear damage to the image/emulsion, the image may be ""Good"" or even ""Excellent"". 
Silver Dye-Bleach Prints are highly susceptible to abrasion and fingerprints. ""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. Resin-coated (RC) paper supports are known to develop surface cracks.
Emulsion delamination or flaking (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparability.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Silver Dye-Bleach Print,Condition,255,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Silver Dye-Bleach Print,Condition,256,"Is this photo on polyester, acetate, or a resin-coated (RC) paper?","Acetate: 1963Ðlate 1970s; 
Polyester and RC paper: late 1970sÐ2011. 
Polyester film is by far more common as a Silver Dye-Bleach Print support than acetate film or RC paper. Polyester is also the most stable of the bunch. 
If uncertain about which plastic film support you have (acetate or polyester), make an educated guess based on the era (if you are incorrect and the support has not deteriorated, this will still score higher than answering ""Unsure"").",8,,,,Polyester,1,Acetate,0.5,RC paper,0.25,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Silver Dye-Bleach Print,Condition,257,What is the level of breakdown of the acetate base?,Acetate films will show its degradation in several stages. Click through for more information on the levels of acetate film base decay.,,256,Acetate,,No deterioration,1,Deterioration starting,0.67,Actively deteriorating,0.33,Critical deterioration,0,Unsure,0.4,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Silver Dye-Bleach Print,Condition,258,Is the support discolored and/or brittle? This will be most evident along the paper's edges,"Select the degree of the support's breakdown. Resin-coated (RC) papers (rather than polyester and acetate film supports) are known to embrittle and crack from exposure to light and fluctuating humidity. Discoloration is usually more apparent on the back. If both yellowed and brittle, this support is likely in an advanced stage of degradation.",,256,RC paper,,Neither,1,"Yellowed, not brittle",0.67,"Brittle, yellowed",0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Silver Dye-Bleach Print,Condition,259,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
Fading and discoloration is less common for Silver Dye-Bleach Prints than most color photo formats. However, dye migration and distortion (read: staining) is relatively common, especially if the print has ever been stored in a humid environment or has been exposed to water.",10,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Dye-Transfer Print,Use | Access,260,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Dye-Transfer Print,Use | Access,261,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about facsimiles and access/reference copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Dye-Transfer Print,Storage | Container,262,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Dye-Transfer Print,Storage | Container,263,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Dye-Transfer Print,Storage | Container,264,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Color Print,Dye-Transfer Print,Condition,265,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If a support's corner is dented without clear damage to the image/emulsion, the image may be ""Good"" or even ""Excellent"". 
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Delamination or flaking (i.e. image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparability.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
